,OrdereinstellungenAnzahl,GeschaefteAnzahl,GeschaefteKurswert,OrderloeschungenAnzahl,OrderaenderungenAnzahl,KurswertMedian,OrdereinstellungenWertMedian,MarketMakerAnzahl,ISIN,date
0,4,2,761.52,0,0,381.0,150,1,US39868T1051,2020-12-01
2,202,8,48135.68,0,0,6176.16,6,1,DE000LS9HP25,2020-12-01
3,90,5,12782.07,0,0,2126.52,257,1,US9616842061,2020-12-01
5,20,1,3276.6,0,0,3276.6,649,1,DE000LS8H3U0,2020-12-01
6,2,1,150.0,0,0,150.0,500,1,DE000LS8GB49,2020-12-01
7,24,5,7042.0,0,0,1496.0,420,1,DE000A11QLU3,2020-12-01
8,3,1,35245.0,0,0,35245.0,500,1,US45337C1027,2020-12-01
9,7,4,2596.0,0,0,590.0,100,1,DE000A1K0375,2020-12-01
10,1,1,459.0,0,0,459.0,150,1,US09060J1060,2020-12-01
11,494,2,28896.0,0,0,22824.064,150,1,IE00B5L01S80,2020-12-01
12,54,10,25319.45,0,0,1881.55,9,1,IL0011582033,2020-12-01
13,9,1,2040.6,0,0,2040.6,500,1,US45667G1031,2020-12-01
15,1,1,106.9,0,0,106.9,10,1,LU1953137681,2020-12-01
20,21,3,6621.525,0,0,3207.5,35,1,DE000A133ZR0,2020-12-01
22,1,1,459.0,0,0,459.0,900,1,DE000LS8GB31,2020-12-01
23,22,3,9600.0,0,0,2970.0,1,1,US5904791358,2020-12-01
25,3,1,207.15,0,0,207.15,1,1,LU1681039563,2020-12-01
26,19,9,31767.6,0,0,3488.0,800,1,DE000LS8N5E1,2020-12-01
28,21,1,931.8,0,0,931.8,70,1,CA68827L1013,2020-12-01
31,133,3,10191.45,0,0,2281.25,0,1,DE000A2E4MK4,2020-12-01
32,30,1,324.15,0,0,324.15,18,1,US2091151041,2020-12-01
34,58,15,56194.0,0,0,2477.0,10,1,US77543R1023,2020-12-01
36,19,3,7397.255,0,0,2413.8,180,1,NO0010096985,2020-12-01
37,1,1,1630.4,0,0,1630.4,200,1,NO0003733800,2020-12-01
38,48,7,101636.1,0,0,3451.8,60,1,LU1681038243,2020-12-01
40,4,1,6000.0,0,0,6000.0,30,1,US6558441084,2020-12-01
42,3,3,15857.87,0,0,2003.0,25,1,LU1681041890,2020-12-01
44,1,1,282.64,0,0,282.64,2,1,US6200763075,2020-12-01
45,22,1,127.875,0,0,127.875,825,1,CA66980V1067,2020-12-01
47,1,1,1010.8,0,0,1010.8,280,1,DE000LS8N5C5,2020-12-01
48,87,4,19322.56,0,0,7157.76,1,1,US69343P1057,2020-12-01
50,17,5,23418.6,0,0,4160.0,700,1,CA01535P1062,2020-12-01
51,3,1,277.5,0,0,277.5,300,1,US8679317011,2020-12-01
52,10,3,1926.0,0,0,612.0,100,1,DE000LS8H3Q8,2020-12-01
53,14,3,15507.95,0,0,4327.45,70,1,US37045V1008,2020-12-01
54,8,1,371.412,0,0,371.412,1,1,US9043111072,2020-12-01
56,7,2,3269.9,0,0,2485.58,28,1,IE00B41RYL63,2020-12-01
58,4,3,6632.78,0,0,2290.5,450,1,DE000LS8N5D3,2020-12-01
59,458,40,99412.243,0,0,1395.0,2750,1,CA65542J2056,2020-12-01
