,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,date
0,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,2022-01-03
1,ANN4327C1220,14,6,20337.20,8,0,1706.00,,1,2022-01-03
2,AT000000STR1,3,0,0,1,0,,,1,2022-01-03
3,AT0000606306,2,1,3855.00,0,0,,,1,2022-01-03
4,AT0000634712,1,1,459.73,0,0,,,1,2022-01-03
5,AT0000641352,5,4,5319.25,1,0,582.63,,1,2022-01-03
6,AT0000644505,6,4,6226.40,1,0,1274.70,,1,2022-01-03
7,AT0000646799,1,1,1840.82,0,0,,,1,2022-01-03
8,AT0000652011,3,2,3009.36,1,0,1504.68,,1,2022-01-03
9,AT0000675657,1,1,12182.90,0,0,,,1,2022-01-03
10,AT0000677901,1,1,1013.83,0,0,,,1,2022-01-03
11,AT0000677927,1,1,243.72,0,0,,,1,2022-01-03
12,AT0000701156,1,1,612.67,0,0,,,1,2022-01-03
13,AT0000705660,3,3,21847.06,0,0,1498.62,,1,2022-01-03
14,AT0000720008,4,2,1262.92,1,0,631.46,,1,2022-01-03
15,AT0000743059,11,8,12997.20,3,1,1162.25,,1,2022-01-03
16,AT0000746409,33,21,27543.25,10,0,972.50,,1,2022-01-03
17,AT0000746755,1,1,36829.20,0,0,,,1,2022-01-03
18,AT0000758305,2,2,2502.00,1,0,1251.00,,1,2022-01-03
19,AT0000785555,2,0,0,1,0,,,1,2022-01-03
20,AT0000799846,1,0,0,0,0,,,1,2022-01-03
21,AT0000799861,1,0,0,0,0,,,1,2022-01-03
22,AT0000814991,1,1,3014.23,0,0,,,1,2022-01-03
23,AT0000820147,1,1,4883.58,0,0,,,1,2022-01-03
24,AT0000822747,1,1,589.74,0,0,,,1,2022-01-03
25,AT0000837307,3,1,6381.12,2,0,,,1,2022-01-03
26,AT0000857164,12,11,29014.80,0,0,1623.50,,1,2022-01-03
27,AT0000859517,2,2,633.63,0,0,316.81,,1,2022-01-03
28,AT0000908504,3,3,3108.00,0,0,994.00,,1,2022-01-03
29,AT0000937503,2,0,0,2,0,,,1,2022-01-03
30,AT0000938204,14,3,4014.00,6,0,352.80,,1,2022-01-03
31,AT0000946652,1,1,2430.00,0,0,,,1,2022-01-03
32,AT0000989090,1,0,0,1,0,,,1,2022-01-03
33,AT0000A00XX9,8,6,5051.05,2,0,595.24,,1,2022-01-03
34,AT000KAPSCH9,2,1,1402.00,0,0,,,1,2022-01-03
35,AU000000AWC3,3,1,4.61,1,0,,,1,2022-01-03
36,AU000000AXE7,1,0,0,1,0,,,1,2022-01-03
37,AU000000AZJ1,2,0,0,0,0,,,1,2022-01-03
38,AU000000CBA7,2,1,262.20,0,0,,,1,2022-01-03
39,AU000000CSL8,18,1,6560.40,7,0,,,1,2022-01-03
40,AU000000CUV3,4,2,267.00,2,0,133.50,,1,2022-01-03
41,AU000000DLC0,3,1,4.54,2,0,,,1,2022-01-03
42,AU000000EVN4,3,0,0,3,0,,,1,2022-01-03
43,AU000000FMG4,22,11,12100.00,5,2,631.30,,1,2022-01-03
44,AU000000FML4,2,0,0,2,0,,,1,2022-01-03
45,AU000000GGG4,4,2,658.39,2,0,329.19,,1,2022-01-03
46,AU000000GRR8,1,1,347.20,0,0,,,1,2022-01-03
47,AU000000ILU1,1,1,358.71,0,0,,,1,2022-01-03
48,AU000000MGR9,1,0,0,0,0,,,1,2022-01-03
49,AU000000NCM7,2,2,3931.31,0,0,1965.66,,1,2022-01-03
50,AU000000ORG5,1,1,101.40,0,0,,,1,2022-01-03
51,AU000000PDN8,19,6,1901.85,9,0,66.98,,1,2022-01-03
52,AU000000PRU3,2,1,3004.50,1,0,,,1,2022-01-03
53,AU000000RIO1,43,25,48143.33,14,0,515.20,,1,2022-01-03
54,AU000000SHL7,2,1,211.16,0,0,,,1,2022-01-03
55,AU000000STO6,3,3,705.97,0,0,252.30,,1,2022-01-03
56,AU000000WPL2,3,1,695.70,2,0,,,1,2022-01-03
57,BE0003470755,2,1,313.20,1,0,,,1,2022-01-03
58,BE0003565737,3,0,0,3,0,,,1,2022-01-03
59,BE0003593044,1,0,0,1,0,,,1,2022-01-03
60,BE0003739530,1,2,12012.00,0,0,6006.00,,1,2022-01-03
61,BE0003755692,4,2,3826.70,2,0,1913.35,,1,2022-01-03
62,BE0003810273,3,0,0,2,0,,,1,2022-01-03
63,BE0003822393,3,3,4324.40,0,0,937.60,,1,2022-01-03
64,BE0003826436,7,1,2003.84,5,0,,,1,2022-01-03
65,BE0940703946,1,0,0,0,0,,,1,2022-01-03
66,BE0974256852,4,2,5618.00,2,0,2809.00,,1,2022-01-03
67,BE0974264930,6,2,5054.80,4,0,2527.40,,1,2022-01-03
68,BMG210821051,6,2,514.40,4,0,257.20,,1,2022-01-03
69,BMG211591018,1,1,0.10,0,0,,,1,2022-01-03
70,BMG2442N1048,2,0,0,2,0,,,1,2022-01-03
71,BMG3122U1457,1,1,99.99,0,0,,,1,2022-01-03
72,BMG507361001,1,1,49.30,0,0,,,1,2022-01-03
73,BMG653181005,4,1,269.50,1,0,,,1,2022-01-03
74,BMG709641044,1,1,0.07,0,0,,,1,2022-01-03
75,BMG9456A1009,3,2,849.60,1,0,424.80,,1,2022-01-03
76,BRCMIGACNPR3,1,0,0,0,0,,,1,2022-01-03
77,BRPETRACNPR6,23,7,13849.94,5,0,798.61,,1,2022-01-03
78,CA0019401052,1,1,280.00,0,0,,,1,2022-01-03
79,CA00208D4084,1,0,0,1,0,,,1,2022-01-03
80,CA00829Q1019,1,0,0,1,0,,,1,2022-01-03
81,CA0209361009,1,1,97.28,0,0,,,1,2022-01-03
82,CA0539061030,8,4,3005.50,4,0,747.46,,1,2022-01-03
83,CA05534B7604,2,2,1139.39,0,0,569.70,,1,2022-01-03
84,CA0585861085,173,92,195704.95,56,0,563.88,,1,2022-01-03
85,CA0636711016,1,1,192.84,0,0,,,1,2022-01-03
86,CA0679011084,135,62,95883.35,57,0,559.99,,1,2022-01-03
87,US88076W1036,1,1,481.00,0,0,,,1,2022-01-03
88,US89151E1091,2,0,0,1,0,,,1,2022-01-03
89,US9001112047,67,3,3019.18,58,0,521.60,,1,2022-01-03
90,US9024941034,3,2,766.00,0,0,383.00,,1,2022-01-03
91,US90384S3031,3,2,4001.20,1,0,2000.60,,1,2022-01-03
92,US9113631090,9,4,7988.70,5,0,2084.60,,1,2022-01-03
93,US9170471026,1,1,3168.00,0,0,,,1,2022-01-03
94,US9182041080,5,3,6420.38,2,0,1286.80,,1,2022-01-03
